tile_name,area_ha_projected,distance_to_2022_m
dop20rgbi_32_354_5502_2_rp_2023_001_016,0.14672335999968708,4399.999999957916
dop20rgbi_32_354_5502_2_rp_2023_001_017,0.2372126400014054,4354.831199958351
dop20rgbi_32_354_5502_2_rp_2023_002_015,0.05972801717167217,4500.507723274725
dop20rgbi_32_354_5502_2_rp_2023_002_016,0.017023031154968327,4492.829923812128
dop20rgbi_32_354_5502_2_rp_2023_002_017,0.01500785925225285,4308.859306923826
dop20rgbi_32_354_5502_2_rp_2023_002_018,0.08124918483008442,4224.497020933312
dop20rgbi_32_354_5502_2_rp_2023_002_018,0.16067297785952925,4200.428554235815
dop20rgbi_32_354_5502_2_rp_2023_003_017,0.2849121407469497,4302.162828985908
dop20rgbi_32_354_5502_2_rp_2023_003_020,0.02472067199989526,4006.0015775952315
dop20rgbi_32_354_5502_2_rp_2023_004_020,0.18347580799956373,4006.8854537776983
dop20rgbi_32_354_5502_2_rp_2023_005_013,0.046960447997750454,4719.12230818204
dop20rgbi_32_354_5502_2_rp_2023_005_014,0.024351551999007882,4692.500832528455
dop20rgbi_32_354_5502_2_rp_2023_006_013,0.14743542400116352,4720.068965553495
dop20rgbi_32_354_5504_2_rp_2023_015_016,0.01215999999788357,4487.175380422769
dop20rgbi_32_354_5504_2_rp_2023_015_017,0.1825981119988314,4328.97216434168
dop20rgbi_32_354_5504_2_rp_2023_015_017,0.0063359999965734316,4408.874856192685
dop20rgbi_32_354_5504_2_rp_2023_015_017,0.0004915736834337903,4332.246733467835
dop20rgbi_32_354_5504_2_rp_2023_015_018,0.006857887999684111,4325.82458739832
dop20rgbi_32_354_5504_2_rp_2023_015_018,0.15851731301498007,4291.119926308133
dop20rgbi_32_354_5504_2_rp_2023_016_015,0.17732780553866564,4517.742803221711
dop20rgbi_32_354_5504_2_rp_2023_016_016,0.7161943359993703,4418.144406832851
dop20rgbi_32_354_5504_2_rp_2023_017_014,0.11027199999624579,4618.983898504731
dop20rgbi_32_354_5504_2_rp_2023_017_016,0.08810665599754013,4416.48202075241
dop20rgbi_32_354_5504_2_rp_2023_017_020,0.45484353613677103,4013.3771722030506
dop20rgbi_32_354_5504_2_rp_2023_018_009,0.18864796778525947,5103.920062021161
dop20rgbi_32_354_5504_2_rp_2023_018_010,0.32243172848431717,5053.958848310482
dop20rgbi_32_354_5504_2_rp_2023_018_014,0.19459200000267893,4616.6488727914875
dop20rgbi_32_354_5504_2_rp_2023_019_009,0.014064080327831999,5103.175480166844
dop20rgbi_32_354_5504_2_rp_2023_019_010,0.11317622340169967,5053.38016215909
dop20rgbi_32_354_5504_2_rp_2023_020_009,0.3484720083954648,5100.025097808772
dop20rgbi_32_354_5504_2_rp_2023_020_010,0.030143982342240652,5090.508269088942
dop20rgbi_32_354_5504_2_rp_2023_020_017,0.047954047996073425,4359.631199958443
dop20rgbi_32_354_5506_2_rp_2023_008_008,0.05504799999981583,5390.661651489019
dop20rgbi_32_354_5506_2_rp_2023_015_014,0.033711857396224086,5044.882464550419
dop20rgbi_32_354_5506_2_rp_2023_016_011,0.0808240000003311,5307.585579632781
dop20rgbi_32_354_5506_2_rp_2023_016_014,0.01735214260375193,5045.735335398239
dop20rgbi_32_354_5508_2_rp_2023_016_019,0.3491280828464445,4120.8000040105635
dop20rgbi_32_354_5508_2_rp_2023_016_019,0.0008799914803044466,4100.062903538507
dop20rgbi_32_354_5508_2_rp_2023_017_019,0.10817630557887867,4132.902533494479
dop20rgbi_32_354_5508_2_rp_2023_017_019,0.0029600167816371146,4100.103349660261
dop20rgbi_32_354_5508_2_rp_2023_017_019,0.003078437401947859,4195.1650711414695
dop20rgbi_32_354_5508_2_rp_2023_017_020,0.10090409803868347,4068.224220349413
dop20rgbi_32_354_5508_2_rp_2023_018_017,0.07527419568008502,4374.452021037091
dop20rgbi_32_354_5508_2_rp_2023_018_020,0.2705999999993306,4002.853322969606
dop20rgbi_32_356_5500_2_rp_2023_009_019,0.014373791999019156,2197.069908455937
dop20rgbi_32_356_5500_2_rp_2023_010_016,0.15330348799593957,2405.8204423571874
dop20rgbi_32_356_5500_2_rp_2023_010_017,0.00012051199997589182,2405.105891835978
dop20rgbi_32_356_5500_2_rp_2023_010_017,0.27243366399800806,2304.7311686830085
dop20rgbi_32_356_5500_2_rp_2023_010_018,0.42660393599877716,2210.7268309044953
dop20rgbi_32_356_5500_2_rp_2023_010_019,0.03136240000120516,2198.3738325050444
dop20rgbi_32_356_5500_2_rp_2023_010_019,3.947186136226376e-06,2126.9613554138577
dop20rgbi_32_356_5500_2_rp_2023_010_020,0.00565988454904289,2075.685697270198
dop20rgbi_32_356_5500_2_rp_2023_011_011,0.09961599999956068,2914.1693164007625
dop20rgbi_32_356_5500_2_rp_2023_011_016,0.008304000001818874,2420.910486619162
dop20rgbi_32_356_5500_2_rp_2023_011_016,0.011168000001580688,2451.6542142272674
dop20rgbi_32_356_5500_2_rp_2023_011_018,0.001396768000261102,2297.1522906924083
dop20rgbi_32_356_5500_2_rp_2023_011_018,0.24742947199789178,2246.8765990675315
dop20rgbi_32_356_5500_2_rp_2023_011_020,0.06844541557795976,2065.827138153915
dop20rgbi_32_356_5500_2_rp_2023_012_020,0.173691648001157,1999.999999981024
dop20rgbi_32_356_5500_2_rp_2023_013_013,0.19651264627867954,2702.652365872266
dop20rgbi_32_356_5500_2_rp_2023_013_017,0.11410732799972834,2300.509195786761
dop20rgbi_32_356_5500_2_rp_2023_013_018,0.05613267199977157,2282.935869146253
dop20rgbi_32_356_5500_2_rp_2023_013_019,0.008783999999462628,2108.784616846715
dop20rgbi_32_356_5500_2_rp_2023_013_020,0.5571463039919675,1999.9999999810243
dop20rgbi_32_356_5500_2_rp_2023_014_013,0.0296673920044495,2701.895897302876
