model,block_size_metres,buffer_metres,runs,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,top10_mean,top10_std,train_rows_mean,test_rows_mean
BeetleCast temporal AEF,1000,0,5,0.8879735472238268,0.04270337566985148,0.9498194195727854,0.010993064672138616,0.39178145311128965,0.14364781518414504,12020.4,4071.6
BeetleCast temporal AEF,1000,500,5,0.7820511128336263,0.05307886989080253,0.8935691770761347,0.019201879869772107,0.35285763809216286,0.11202598257162236,6268.6,4071.6
BeetleCast temporal AEF,2000,0,5,0.7414358184746641,0.1766209011890282,0.9043179803968086,0.038878239794424396,0.3223757660058796,0.03626590151170124,12002.6,4089.4
BeetleCast temporal AEF,2000,500,5,0.6685858654121766,0.19749878072891047,0.8735910527944576,0.04833190550961418,0.2911201099548178,0.04151448572163584,9356.2,4089.4
Coordinate-only diagnostic,1000,0,5,0.7328244713630908,0.11378064483454424,0.8959873666610416,0.022972387220701405,0.3218892250974922,0.09397151985586652,12020.4,4071.6
Coordinate-only diagnostic,1000,500,5,0.5304599156801505,0.15346484480240694,0.7779106467343518,0.056149133605350246,0.23062931639079465,0.050227538517712285,6268.6,4071.6
Coordinate-only diagnostic,2000,0,5,0.6376538496680035,0.20732504108984665,0.8500265528640035,0.05981302752676274,0.28965438545878996,0.03161318498071129,12002.6,4089.4
Coordinate-only diagnostic,2000,500,5,0.4408042482714512,0.17263309798817517,0.7135778567568195,0.06951486764770015,0.1795164665736531,0.05833501411561668,9356.2,4089.4
