feature,importance_mean,importance_std
ndre_std,0.17358262000323504,0.007343984031729829
ndre_change,0.11461515004541431,0.006101918130047217
nbr_recent,0.09368956760458584,0.004145512170131898
valid_fraction,0.08673603135684631,0.004846070608643703
ndre_prior,0.048273818294289304,0.003809623581010055
nbr_change,0.04471707681190441,0.005273204321468215
ndvi_recent,0.028032817754587602,0.0015894192743480602
nbr_prior,0.02238889734042654,0.0017009395639985402
ndvi_change,0.01783809710543801,0.00224296610866691
ndvi_std,0.013506275172426507,0.001333117340226995
ndre_recent,0.010809588173998274,0.0008695295623962086
ndvi_prior,0.008729827271032142,0.0005873712761051446
