label_year,patch_row,patch_col,target,positive_fraction,ndvi_recent,ndre_recent,nbr_recent,ndvi_prior,ndre_prior,nbr_prior,ndvi_change,ndre_change,nbr_change,ndvi_std,ndre_std,valid_fraction,spatial_block
2022,34,190,1,0.52,0.63780546,0.42746985,0.3425016,0.67334884,0.44136676,0.42704955,-0.035543367,-0.013896867,-0.08454799,0.15903653,0.12757227,0.8333333333333335,2022_3_19
2022,34,191,1,0.16,0.657612,0.44159997,0.34062374,0.6377301,0.4309468,0.42114434,0.01988193,0.010653103,-0.08052059,0.15364489,0.13771242,0.8333333333333335,2022_3_19
2022,35,187,1,0.68,0.6829449,0.45582938,0.40725955,0.7113683,0.47928146,0.52388346,-0.028423391,-0.023452053,-0.11662384,0.16415386,0.13401239,0.8333333333333335,2022_3_18
2022,35,190,1,0.56,0.5981644,0.42239735,0.33625114,0.64870244,0.44142297,0.4389812,-0.050538063,-0.019025568,-0.102730066,0.1456923,0.11897152,0.8333333333333335,2022_3_19
2022,35,191,1,0.08,0.6523107,0.44879916,0.3703803,0.66310275,0.4517644,0.44627914,-0.010792058,-0.0029652726,-0.075898826,0.16089943,0.13717735,0.8333333333333335,2022_3_19
2022,40,133,1,0.12,0.7472223,0.50917906,0.5485632,0.72127074,0.47290012,0.5959323,0.025951514,0.036278933,-0.047369137,0.20465206,0.17421858,0.8966666666666666,2022_4_13
2022,41,132,1,0.12,0.7291248,0.47544494,0.50939333,0.68870413,0.4516683,0.5370338,0.040420588,0.02377665,-0.02764047,0.13682263,0.1028826,0.8066666666666665,2022_4_13
2022,41,133,1,0.12,0.75122666,0.508945,0.555014,0.74722123,0.49555656,0.5713823,0.0040053725,0.013388462,-0.016368221,0.12703651,0.109184526,0.8333333333333335,2022_4_13
2022,41,134,1,0.32,0.757579,0.5357025,0.61202514,0.7799318,0.5399862,0.59993774,-0.022352625,-0.0042837574,0.012087386,0.123578586,0.114592284,0.9033333333333334,2022_4_13
2022,42,125,1,0.24,0.62336236,0.39456365,0.44023764,0.6257539,0.38000184,0.4021927,-0.00239156,0.014561764,0.038044926,0.18330318,0.14565699,0.9066666666666666,2022_4_12
2022,42,126,1,0.96,0.6514411,0.4306917,0.44130844,0.68103486,0.44204053,0.4624424,-0.029593742,-0.011348855,-0.021133944,0.11803061,0.09408039,0.8266666666666665,2022_4_12
