feature,importance_mean,importance_std
aef_02,0.04320207367136082,0.002968242610530257
aef_53,0.03416704298233168,0.0026414935062462467
aef_24,0.015385796905934668,0.0014708335438463407
valid_fraction,0.015325946574892169,0.0013308140664369927
aef_23,0.01326431776523238,0.001245353197287586
aef_17,0.011889604309300394,0.0011837210046701787
aef_60,0.01120578202503617,0.001111945677700113
aef_46,0.0093266619552012,0.0005809489090230467
aef_62,0.00931976097543299,0.00035610583421919996
aef_37,0.008745101373638242,0.0012430017976101746
aef_45,0.007289960107265947,0.0008967938717741262
aef_07,0.0059934368977692335,0.001671074819913492
aef_33,0.0055656792171725035,0.0006492300902908987
ndvi_std,0.004662145296281617,0.0012698955329676972
aef_26,0.004569633646981153,0.0006249352467784254
aef_36,0.004488445508756889,0.00044973567727621454
aef_28,0.004002729288684259,0.0005625048937072585
aef_42,0.00366935794141503,0.0005700385564925617
nbr_change,0.0034488139344751147,0.001010194823630415
aef_39,0.0031916147538325833,0.0007540186954497984
aef_29,0.002874165341381274,0.0005820811194716875
aef_55,0.0025517285619533147,0.0002984470653459758
aef_05,0.002527103638479167,0.0006475898448570624
aef_34,0.002498601913887577,0.001070819694010704
aef_01,0.002429166121260895,0.0005871562501029451
aef_61,0.0023319966367486566,0.0011309696825665303
aef_03,0.0022276216776960346,0.00028553673616742533
aef_32,0.0021550240953906786,0.0002967010636936944
aef_44,0.00210328663720325,0.0003648553588624047
aef_09,0.001990507650000106,0.0005146001777234483
ndre_std,0.0018440725936573975,0.000307926733892704
aef_51,0.0017691080851979014,0.00040472690047466115
aef_63,0.001624101778847664,0.000959926508215748
aef_64,0.001479698403836438,0.0003796161570433305
aef_27,0.001440984256707667,0.0002335754861313794
aef_20,0.0013648540156482535,0.00013370436632836131
aef_04,0.0013596888930386796,0.0006097016456956366
aef_13,0.0013442040180767557,0.00015249536365485015
aef_59,0.0013367289437677065,0.00023776500918156032
aef_25,0.0012063407548773774,0.00044505616625722483
nbr_recent,0.001126138938068544,0.0004017904536451101
aef_35,0.0011114525272861498,0.000956739500329636
aef_56,0.0010699499616780629,0.0004865340648472895
aef_38,0.0010663299538871795,0.0005997401150008468
aef_15,0.0010596992113099946,0.00037058286801941876
aef_30,0.0009916045048094179,0.0002095292251437025
aef_14,0.0009334979185832148,0.0003546160841280521
aef_48,0.0009155963581449322,0.0003156730960571573
aef_10,0.0008810737787798173,0.00044163416373320537
aef_40,0.0007915736759119829,0.000188363242320277
aef_49,0.0007315242919910148,0.00016714968715410852
ndre_recent,0.0006566156191852191,0.00028347549154985615
aef_47,0.0006441750884373043,0.00017984994025747826
aef_41,0.0005941824530430572,0.0002708236587525422
aef_16,0.0005893586403651785,0.00036559529279661527
ndvi_prior,0.0005843307107954665,0.00046385928352353343
aef_57,0.0005834629702847316,0.0007070531522953904
aef_19,0.0005556587331240869,0.0002821786545015611
aef_11,0.0005185933143043497,0.00020894135083277847
aef_12,0.0004913329444525827,0.00018953473552804105
aef_58,0.00046214863433104993,0.00037430454304536486
aef_31,0.0004572361637799727,0.00028555317863305124
aef_43,0.00036657258295857975,0.0005807095969153408
aef_22,0.00033309480636509734,6.623605557266708e-05
ndre_change,0.00029875925907829615,0.0002655642327768567
aef_06,0.0002772445975830262,0.0003118905543292423
aef_50,0.00017750337209805346,0.0001786143666744935
ndre_prior,2.115742223314232e-05,0.0001732230204457447
aef_08,7.817808505117263e-06,0.00025602334959793813
nbr_prior,-0.00010835080592717095,5.5642408422151154e-05
ndvi_change,-0.00011907652478078123,0.0003103475461175826
ndvi_recent,-0.0002188050864887714,0.0001477796872608352
aef_21,-0.0003021892703275908,0.0005980293261277094
aef_52,-0.0003288537748260989,4.7987018296758104e-05
aef_18,-0.0017012008595104877,0.0002741207453660323
aef_54,-0.002277173252555764,0.000291318017926422
