model,feature_count,pr_auc,roc_auc,top_10_percent_capture,pr_auc_change,capture_change
Sentinel-2 baseline,12,0.7064159944077327,0.821302825868934,0.2939297124600639,0.0,0.0
Sentinel-2 + AEF,76,0.8856741470253523,0.9337339091977301,0.3258785942492013,0.17925815261761957,0.03194888178913741
