model,feature_count,pr_auc,roc_auc,top_10_percent_capture
Sentinel-2 baseline,12,0.7064182911877062,0.8228925418066662,0.29201277955271565
Sentinel-2 + latest AEF,76,0.8896236300240085,0.9358219152818931,0.32523961661341855
Sentinel-2 + temporal AEF,332,0.9293977053270666,0.9628700950387022,0.3303514376996805
