model,feature_count,pr_auc,roc_auc,top_10_percent_capture
Temporal AEF on stable forest,332,0.881066488060835,0.9522582843513077,0.3958974358974359
Temporal AEF + LULC,337,0.8790312634733284,0.9517015077945311,0.39384615384615385
